Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
71;1;3;0.6105753546941451;0.22479909899097017;1;7;2;no;0.9517760204499862
72;2;1;0.8264396797073083;0.20311294602080085;10;5;1;no;0.961489342005557
73;2;3;0.729847841936574;0.058136753886221346;15;3;2;yes;0.9617336991138361
74;1;1;0.6265129152249701;0.24126531902560558;14;5;2;no;0.9534678185237663
75;1;1;0.953457870745029;0.011062777034701278;15;5;1;yes;0.9498418989548967
76;2;5;0.6520813174714694;0.003970612777019999;14;7;1;no;0.963569034790638
77;1;5;0.6269764215132666;0.22941428408914252;4;5;3;no;0.9513002583987649
78;1;1;0.7241487058345457;0.1663636460857274;14;7;1;yes;0.966862884443213
79;1;1;0.7117335524236034;0.10505186651201508;7;3;2;yes;0.9444802507924875
80;2;5;0.013626651543282242;0.24800507641927094;8;5;3;no;0.9426281624921189
81;1;5;0.4475386068583035;0.0894941777822144;1;3;2;yes;0.9438059014932344
82;2;5;0.8495259640272156;0.21374487606447232;7;7;2;no;0.9581952307961297
83;2;3;0.4194899631481357;0.05551107408617788;2;7;1;yes;0.9674723733720672
84;1;3;0.21145863280468347;0.2838809839282136;14;3;2;yes;0.9655497748856331
85;1;3;0.5007929867433508;0.25519014189812034;9;7;1;no;0.9544451161812926
86;2;5;0.41687585504328817;0.08900707635562367;10;5;2;no;0.9442752450950833
87;2;5;0.7981712112579112;0.029541529140992655;6;7;3;no;0.946681833795698
88;2;3;0.07990865570996297;0.2741234746255546;2;5;2;no;0.9404636756397895
89;2;5;0.2420238349341144;0.2207859251516036;4;3;3;yes;0.9509580771463289
90;2;1;0.5711163853766935;0.13197708140850156;6;5;1;no;0.9512847402467902
91;2;1;0.8565527479218685;0.09861696494553274;1;3;1;yes;0.9524252961770376
92;1;3;0.2515506101653753;0.004412030254062204;7;3;2;yes;0.9483533933566289
93;1;1;0.1728817012159627;0.036528536110602625;9;7;3;yes;0.9584506104864218
94;2;5;0.7615948673931346;0.03025839118079721;3;7;2;yes;0.945939312505044
95;1;1;0.25856965119899933;0.0736441370835539;14;5;1;yes;0.9571102391430213
96;1;1;0.7019598226269601;0.2246581473686766;3;7;2;yes;0.9545332653581347
97;1;5;0.6183576836577264;0.2557777308637871;8;7;2;yes;0.9564057277611894
98;2;1;0.5035376947904534;0.004401008924698563;1;3;1;yes;0.9513729223659607
99;1;1;0.8525840736606145;0.010435024236694328;14;3;2;yes;0.9444331385524938
100;2;5;0.012711975104002349;0.12291946475276075;15;7;2;yes;0.947084491762063
101;2;1;0.6611834791640512;0.2442014622963411;6;7;1;no;0.9634417660279697
102;2;1;0.9529697146409206;0.1623068339912223;6;5;1;yes;0.9431477615710865
103;1;5;0.16290322009317681;0.23463733621300598;2;7;2;no;0.951919458436745
104;1;3;0.6116854830088992;0.053290913450209185;7;3;3;yes;0.9610260246035123
105;2;1;0.8123012885898846;0.2765536360059346;12;7;2;no;0.9517271607619321
106;2;3;0.7577806875263817;0.13306327554702013;3;7;3;no;0.9460341511697293
107;2;3;0.5828364517822018;0.04717113163314683;2;3;2;yes;0.9601839885514282
108;1;3;0.3522700343902917;0.1195114097564778;1;5;2;no;0.9426675337086551
109;1;1;0.8251484384239867;0.11369415795041708;13;3;2;yes;0.9651762126047593
110;2;5;0.26577962802808286;0.012601702722672624;7;7;2;no;0.9626813271475974
111;1;1;0.9783063515353229;0.06741300785949036;12;3;3;no;0.941496582774446
112;1;5;0.1768734628798705;0.1548820099540954;6;3;2;yes;0.9532474725454068
113;2;5;0.4218544217449379;0.05314210058742771;15;3;2;yes;0.9536239648181996
114;1;5;0.5699920745865176;0.18523592306945194;8;5;1;yes;0.9585103803242563
115;2;3;0.41200505083123007;0.15256484556515107;2;5;1;yes;0.9415543015801171
116;2;5;0.2751575780755914;0.13803868308841266;6;3;1;yes;0.9620993853386629
117;1;1;0.5910479947262763;0.2822407591994552;13;3;3;no;0.9541113996680647
118;2;5;0.052119969357487306;0.12596920051791796;12;3;3;no;0.9581054621046391
119;2;1;0.7303141004028778;0.0962720777375963;8;3;1;no;0.9467862136556189
120;1;1;0.0937229025225852;0.04222959492208588;3;7;1;no;0.9472141185493774
121;2;1;0.5398248922769752;0.03264883402444364;5;3;3;yes;0.9502046370854285
122;1;3;0.046996748996191884;0.03862621196872771;5;5;3;yes;0.9545585714302081
123;2;1;0.8186822872712938;0.1594065502791658;9;7;2;yes;0.9525518299043516
124;1;3;0.7815015847693348;0.03316361797819419;3;3;3;no;0.9526744823500372
125;1;5;0.33652784927555734;0.039004017989957285;12;5;2;yes;0.9434236917774352
126;2;3;0.9940354349115942;0.044839026183859376;1;3;2;yes;0.949636790668831
127;2;1;0.42588253995546366;0.11976112353886947;8;7;2;yes;0.950238135824513
128;1;5;0.16390649202541074;0.10741267007650088;13;7;2;no;0.9430321763905255
129;1;3;0.7663415714184815;0.24356530686118744;10;3;3;no;0.9673675577110118
130;1;3;0.9660808090245687;0.20767348203670194;5;3;1;no;0.966788812969734
131;2;3;0.5835456444337297;0.24550783456319322;15;7;2;no;0.9410136465182184
132;2;3;0.1288234383909198;0.19951667970060888;4;3;3;yes;0.9467744165651683
133;2;5;0.9383079993046354;0.0610767378965451;4;5;1;yes;0.9624930063144327
134;1;3;0.7717414168885831;0.05225450022350449;2;3;1;no;0.960889906131409
135;2;1;0.804595169742671;0.10015792524382645;4;3;1;no;0.965860674610887
136;2;3;0.37882301819354447;0.2815955600445622;6;7;3;yes;0.9495897277062254
137;2;5;0.7302177320124675;0.125699484295217;5;5;3;yes;0.9477344613483262
138;2;5;0.91419057628999;0.033415337872195694;8;7;3;yes;0.9407411767989877
139;2;3;0.43268420762640125;0.1734708782911512;4;3;3;yes;0.9554791870128164
140;1;3;0.8565073518602295;0.13424767878179092;14;7;1;yes;0.9406887445913361
141;2;1;0.23693577090217222;0.18370030684521668;7;7;3;yes;0.9592416659903762
142;1;5;0.5575902001245364;0.09780741162425223;14;7;3;no;0.9476900518669444
143;1;5;0.7344615319913268;0.10452065249782624;12;5;3;yes;0.967237154286098
144;1;3;0.7836957653102066;0.28180954989449514;1;3;3;yes;0.9669666235547659
145;1;1;0.9980706814485809;0.27124276060906205;9;7;3;no;0.966460591583858
146;2;1;0.3017048173720899;0.29412328048583164;9;5;3;yes;0.9413243644988082
147;1;1;0.5774709717532455;0.11846042803047842;15;7;3;yes;0.9545332319553884
148;2;3;0.17019322007815818;0.058966033721334694;15;7;3;yes;0.9628088130227896
149;2;5;0.92249854769117;0.1274829826543052;12;7;2;yes;0.9465911453431448
150;2;1;0.9959378560312069;0.201276231469711;12;3;1;yes;0.9485122386412316
151;1;1;0.8187145358920692;0.03907272358552382;8;3;3;yes;0.9417378851185079
152;2;5;0.8441736123600497;0.20842466768596773;3;5;1;yes;0.9653414302598325
153;2;1;0.5001039089575756;0.23771476247626366;3;5;2;yes;0.9401227054351274
154;1;5;0.03593554843511104;0.16946517493855903;3;3;3;no;0.962614181246469
155;2;3;0.8423865808114461;0.2633690283461902;7;7;1;yes;0.9477887544407064
156;1;3;0.5337498004482455;0.20242184954796674;7;5;1;no;0.9609113947368241
157;1;5;0.09520205309682606;0.08076836109553849;14;7;1;no;0.9651753778172931
158;1;1;0.5790684444622441;0.10396406853999075;7;7;1;no;0.9504823443230052
159;1;5;0.030012352180415314;0.29368313986814226;13;5;1;yes;0.961035096670081
160;1;3;0.28809062997098567;0.03203235912654507;13;3;3;no;0.961049709022147
161;1;1;0.8514581507577427;0.16807482367116158;4;7;2;yes;0.9442610976382603
162;2;3;0.8895144899233589;0.16522948528391204;8;3;3;no;0.9658848950531682
163;1;5;0.32220120543967445;0.015644168274080297;15;5;1;no;0.949554545695317
164;1;1;0.5664849126773589;0.22001708858436406;4;3;1;yes;0.9426239374951795
165;1;1;0.004720658615230633;0.21023159073880074;9;5;2;no;0.9638242917633073
166;1;5;0.5793314226903076;0.21258986768621557;15;7;3;no;0.9617507356600865
167;2;5;0.4384515189931807;0.2883393190427901;3;7;2;yes;0.9449032435839151
