Round No;Policy;Reward;Epsilon;Threshold Confidence;Threshold Correct Prediction;Max Length Cyclic;Max Length Acyclic;Single Relations;Measure
111;2;3;0.3756896041560689;0.046484331887420426;3;7;3;no;0.8855582119005144
112;2;1;0.7158405542690295;0.16630111895646768;12;5;1;no;0.8874309174676372
113;2;3;0.5803914896254068;0.09597818753591848;12;7;3;yes;0.890916792726397
114;1;1;0.7485458408054854;0.016585809736348347;1;5;3;no;0.8922793881403237
115;2;3;0.42442971441805855;0.07926188406504135;7;7;1;yes;0.8641681297910814
116;2;3;0.18224024423777707;0.22484304822072093;9;7;1;no;0.8281091275847569
117;2;3;0.6157561744990522;0.12223016244290147;6;3;2;no;0.8147700128117761
118;2;3;0.175620031335333;0.14468982465386002;4;3;2;yes;0.8246504379496862
119;2;1;0.4504392953545313;0.0053393532020019376;5;3;1;no;0.8745149469526058
120;2;1;0.930871024663721;0.17809757621342306;14;7;1;no;0.8914333014460253
121;2;3;0.09653985771065532;0.10687347244400185;11;3;1;no;0.886980156387048
122;1;3;0.0036540207383455314;0.0012450215233516984;15;3;2;yes;0.821603782574749
123;1;1;0.8965224987883373;0.0936456971299618;2;7;1;yes;0.8942963723899255
124;2;5;0.930632104261045;0.11800082100899113;2;3;1;yes;0.8411488717044063
125;2;3;0.20033176627336224;0.25616219552399505;12;3;1;yes;0.8812151402510568
126;1;1;0.9161245624516156;0.0884784987360514;1;3;1;yes;0.8506011058478149
127;1;5;0.5290467764972631;0.16938454675714737;2;7;3;yes;0.8473765237821334
128;1;5;0.1015504588390761;0.050855866095389356;10;7;1;no;0.8327685434400095
129;2;3;0.7960332999032196;9,84E+11;12;7;1;yes;0.8919810593996851
130;2;1;0.3455337185159679;0.2202543658621962;15;5;2;no;0.8629561523280693
131;2;5;0.7234668514814955;0.2466380721906313;12;5;1;no;0.8678740439817283
132;2;1;0.7276710719262101;0.20930773205522835;7;7;1;yes;0.8313070743303459
133;1;5;0.7223519575182896;0.2089174093150527;12;7;2;yes;0.8835636599382377
134;2;5;0.42942867899560644;0.26602489001478585;6;7;2;no;0.835751993219269
135;2;3;0.22969268231702267;0.19635576789912648;12;5;1;yes;0.8201580700936592
136;1;5;0.7814700790195174;0.22688713990360473;5;3;1;yes;0.8348765274495481
137;1;1;0.5838743606253531;0.10094151709950916;8;5;1;no;0.8624462791289075
138;1;3;0.15359421617207425;0.23952887488220184;4;5;2;yes;0.8366242632621284
139;1;3;0.8758281962274064;0.241693920398593;8;3;3;no;0.8871230396409817
140;1;1;0.822662938805127;0.04144277782670664;10;7;1;yes;0.8312800517104366
141;2;1;0.13701440705342394;0.1731816066842918;1;5;1;no;0.8765137627680166
142;2;5;0.8223412406046304;7,43E+11;14;5;1;no;0.884217440613934
143;1;1;0.6541589636529481;0.16137656566052558;7;7;2;no;0.8251700484317512
144;1;3;0.1586943560373505;0.013004400544914098;13;3;2;no;0.8756475330453035
145;1;1;0.9641094748170683;0.29308517972363274;6;7;3;yes;0.826643061994099
146;1;3;0.2858535284157241;0.025784741135298054;6;7;1;yes;0.8472359420452436
147;1;3;0.149868263636587;0.10453017966334213;10;3;2;no;0.834398105933181
148;1;5;0.759860017836988;0.16995588771712022;11;5;2;yes;0.8182304620950321
149;1;1;0.7911636538048646;0.2914453662337744;6;3;2;yes;0.8162911507200672
150;2;1;0.9258437631417068;0.045219747583634826;2;5;2;no;0.8949951528163528
